antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'运动户外', '云闪付'})",frozenset({'电子产品'}),0.017326239411927246,0.9089974829953243,0.01565039924380758,0.9032773282027934,0.9937071830235635,1.0,-9.910877140867358e-05,0.9408602483136104,-0.006403059792292291,0.017185525089767794,-0.06285710528464905,0.4602472683806057
"frozenset({'食品', '云闪付'})",frozenset({'电子产品'}),0.06452286823960347,0.9089974829953243,0.058453537899113,0.9059352055157837,0.9966311485600049,1.0,-0.00019758692632550895,0.9674450202508599,-0.0036003753800096633,0.06387898353129487,-0.03365047012252803,0.48512035289890276
"frozenset({'信用卡', '办公'})",frozenset({'电子产品'}),0.01782429022907825,0.9089974829953243,0.016114987967482862,0.904102646465728,0.994615126420959,1.0,-8.724698692742089e-05,0.9489575431521475,-0.005482061253137009,0.017695034481308557,-0.0537879246718509,0.4609154775726433
"frozenset({'家居', '信用卡'})",frozenset({'电子产品'}),0.04766662492387135,0.9089974829953243,0.034686163573845734,0.7276823905456535,0.8005328993297075,1.0,-0.008642678504835521,0.33417786380770964,-0.20738047011634816,0.03762146783074581,-1.992418434320393,0.382920545998611
"frozenset({'服装', '信用卡'})",frozenset({'电子产品'}),0.06491127662689629,0.9089974829953243,0.058820603068989265,0.9061692532575562,0.9968886275367357,1.0,-0.00018358400287268872,0.9698581772397975,-0.0033266368499850277,0.06427861911200206,-0.031078588052931354,0.4854392833629001
"frozenset({'信用卡', '母婴'})",frozenset({'电子产品'}),0.017592504796418947,0.9089974829953243,0.015900887823770804,0.903844450109658,0.9943310812383263,1.0,-9.065475575718851e-05,0.9464094075532509,-0.005769849435688911,0.01746028125770915,-0.05662516878957992,0.4606686122127858
"frozenset({'信用卡', '汽车用品'})",frozenset({'电子产品'}),0.017079186103917805,0.9089974829953243,0.015447018420914267,0.9044352773561538,0.9949810580067425,1.0,-7.791875915573801e-05,0.9522605673625705,-0.0051057056316830855,0.016963008407872272,-0.05013274126182831,0.460714372007862
"frozenset({'玩具', '信用卡'})",frozenset({'电子产品'}),0.026211029583130704,0.9089974829953243,0.023703853602195953,0.904346528129198,0.9948834238233526,1.0,-0.00012190631558584367,0.9513770407371275,-0.005253573178104311,0.0260051919304708,-0.05110798051758677,0.46521172349139917
"frozenset({'运动户外', '信用卡'})",frozenset({'电子产品'}),0.017325603250454322,0.9089974829953243,0.015664871917316567,0.9041458292025586,0.9946626323135916,1.0,-8.405782872202353e-05,0.9493850528109179,-0.0054309601290736045,0.017201702758337455,-0.053313402227286505,0.4606894796690382
"frozenset({'信用卡', '食品'})",frozenset({'电子产品'}),0.06455973379695933,0.9089974829953243,0.058501472666097704,0.906160376219721,0.9968788617915041,1.0,-0.0001831628581864947,0.9697664306258699,-0.0033358260840106657,0.06393214079210278,-0.03117613522115623,0.4852593050823982
"frozenset({'储蓄卡', '办公'})",frozenset({'电子产品'}),0.017822254512364896,0.9089974829953243,0.01611743718915361,0.9043433409601181,0.9948799175770323,1.0,-8.294730388814023e-05,0.9513453419561124,-0.005212505371876685,0.017697811000934364,-0.05114300338491816,0.46103717203020833
"frozenset({'家居', '储蓄卡'})",frozenset({'电子产品'}),0.04770546258179327,0.9089974829953243,0.03471237342653014,0.7276393844208959,0.8004855877303224,1.0,-0.008651771985447566,0.33412509665240125,-0.20743587714066855,0.037649380020841054,-1.9928910160266264,0.3829134598368148
"frozenset({'服装', '储蓄卡'})",frozenset({'电子产品'}),0.06498879290237189,0.9089974829953243,0.05888332859021942,0.906053581864118,0.9967613759264705,1.0,-0.00019132058094102622,0.9686640407413047,-0.003462948024040861,0.06434612495072041,-0.03234966710926352,0.4854159502486433
"frozenset({'母婴', '储蓄卡'})",frozenset({'电子产品'}),0.017523862973490612,0.9089974829953243,0.015847641108487194,0.9043463266324817,0.994883202154184,1.0,-8.150622677073269e-05,0.9513750366389792,-0.0052075879597277075,0.01740210684014181,-0.05111019470597347,0.4608902617708296
"frozenset({'储蓄卡', '汽车用品'})",frozenset({'电子产品'}),0.017063568339757557,0.9089974829953243,0.015420395063272462,0.9037028337937643,0.9941752872800999,1.0,-9.034560848586275e-05,0.9450176011387422,-0.005925229365284107,0.01693356754617571,-0.05818134899816069,0.4603335058749832
"frozenset({'玩具', '储蓄卡'})",frozenset({'电子产品'}),0.026230750588791298,0.9089974829953243,0.02371520908448762,0.9040995225893917,0.9946116898038123,1.0,-0.0001284771778017925,0.9489266316687721,-0.005532653878062275,0.026017411103375077,-0.053822252033764575,0.4650944668786659
"frozenset({'运动户外', '储蓄卡'})",frozenset({'电子产品'}),0.017290232672559833,0.9089974829953243,0.015624157583049528,0.9036406784649913,0.9941069093913425,1.0,-9.262039671088101e-05,0.9444080298096864,-0.0059961545503510365,0.017156893393107567,-0.05886435569752228,0.46041450911488346
